Coordinates
"-0.624678495002662,44.83941066516822"
"-0.62466985410368,44.83941066516928"
"-0.6246678371450927,44.83941554308346"
"-0.6246723603496372,44.83942248214525"
"-0.6246736509230703,44.83943171154979"
"-0.6246565687125526,44.839444529602325"
"-0.6246501894115392,44.839453050588425"
"-0.6246437143894279,44.83946256801929"
"-0.624636509479953,44.8394725817851"
"-0.6246281424655176,44.83948274222581"
"-0.6246191732484486,44.83949301384144"
"-0.6246103603843699,44.839503346053014"
"-0.6246017493699404,44.83951390987689"
"-0.6245939718726554,44.83952477536899"
"-0.6245871190658019,44.83953593543301"
"-0.6245810869175689,44.839547080967066"
"-0.6245756254830845,44.83955823892313"
"-0.6245704799155432,44.83956936560901"
"-0.6245656186568915,44.83958051702764"
"-0.6245611640200989,44.83959179947114"
"-0.6245569362593488,44.839603407776174"
"-0.6245526665934813,44.83961517359816"
"-0.6245483753182813,44.83962696293748"
"-0.62454389418778,44.83963852619365"
"-0.6245390117000335,44.83964986158165"
"-0.6245337578295952,44.83966100311186"
"-0.6245280506701604,44.83967218852217"
"-0.6245221262113966,44.839683391317394"
"-0.6245161205409604,44.839694613889485"
"-0.6245102780181305,44.83970566949583"
"-0.6245044143819777,44.83971654624976"
"-0.6244986445201438,44.83972726934702"
"-0.6244928368035705,44.839737843597995"
"-0.6244870395284351,44.839748398724176"
"-0.6244812695052885,44.83975913334705"
"-0.6244756427454751,44.83976999312227"
"-0.6244702737898691,44.83978071835626"
"-0.6244651634143085,44.83979133243954"
"-0.6244602491424514,44.839801798243"
"-0.6244554803988911,44.83981203520564"
"-0.6244507528054606,44.83982231146679"
"-0.6244461762315466,44.839832630391065"
"-0.6244417230794903,44.839842988408414"
"-0.6244375067181788,44.83985338531343"
"-0.6244335303705764,44.83986358892867"
"-0.6244297574614722,44.83987363936191"
"-0.6244261553639787,44.839883582998816"
"-0.6244225271316153,44.83989363485757"
"-0.6244188075545014,44.839903762175936"
"-0.6244148558383774,44.839913962965014"
"-0.6244107916685695,44.83992435771928"
"-0.6244066991735489,44.8399347054249"
"-0.6244025771725498,44.83994503737812"
"-0.6243983338226176,44.839955347403745"
"-0.6243940567857421,44.83996569857047"
"-0.6243897917562461,44.839976337205194"
"-0.6243854592672692,44.83998722255898"
"-0.6243810061448417,44.83999833438498"
